traditional,simplified,pinyin,cefr_level,part_of_speech,definitions
平時,平时,píngshí,B1,N,ordinarily | in normal times | in peacetime
平原,平原,píngyuán,B1,N,field | plain
品質,品质,pĭnzhí,B1,N,"character | intrinsic quality (of a person) | quality (of a product or service, or as in ""quality of life"", ""air quality"" etc)"
破壞,破坏,pòhuài,B1,V,destruction | damage | to wreck | to break | to destroy
普遍,普遍,pŭbiàn,B1,Vs,universal | general | widespread | common
期,期,qí,B1,M,"a period of time | phase | stage | classifier for issues of a periodical, courses of study | time | term | period | to hope | Taiwan pr. "
起,起,qĭ,B1,N / V,"to rise | to raise | to get up | to set out | to start | to appear | to launch | to initiate (action) | to draft | to establish | to get (from a depot or counter) | verb suffix, to start | starting from (a time, place, price etc) | classifier for occurrences or unpredictable events: case, instance | classifier for groups: batch, group"
氣,气,qì,B1,N / Det,gas |  air | smell | weather | to make angry |  to annoy |  to get angry | vital energy |  qi
鉛筆,铅笔,qiānbĭ,B1,N,(lead) pencil
簽名,签名,qiānmíng,B1,V-sep,to sign (one's name with a pen etc) | to autograph | signature
謙虛,谦虚,qiānxū,B1,Vs,modest | self-effacing | to make modest remarks
前,前,qián,B1,N / Det,front | forward | ahead | first | top (followed by a number) | future | ago | before | BC (e.g. 前293年) | former | formerly
強盜,强盗,qiángdào,B1,N,to rob (with force) | bandit | robber
強調,强调,qiángdiào,B1,V,to emphasize (a statement) | to stress
搶,抢,qiăng,B1,V,to fight over | to rush | to scramble | to grab | to rob | to snatch
橋,桥,qiáo,B1,N,bridge
欺負,欺负,qīfù,B1,V,to bully
其次,其次,qícì,B1,Conj,next | secondly
期間,期间,qíjiān,B1,N,period of time | time | time period | period
起飛,起飞,qĭfēi,B1,Vp,(of an aircraft) to take off
起來,起来,qĭlái,B1,Ptc,"(after a verb) indicating the beginning and continuation of an action or a state | indicating an upward movement (e.g. after 站) | indicating completion | (after a perception verb, e.g. 看) expressing preliminary judgment | also pr. "
親,亲,qīn,B1,V,parents-in-law of one's offspring
親切,亲切,qīnqiè,B1,Vs,amiable | cordial | close and dear | familiar
親手,亲手,qīnshŏu,B1,Adv,personally | with one's own hands
親眼,亲眼,qīnyăn,B1,Adv,with one's own eyes | personally
親自,亲自,qīnzì,B1,Adv,personally | in person | oneself
清,清,qīng,B1,Vs-pred,(of water etc) clear |  clean | quiet |  still | pure |  uncorrupted | clear |  distinct | to clear |  to settle (accounts)
青年,青年,qīngnián,B1,N,youth | youthful years | young person | the young
青少年,青少年,qīngshàonián,B1,N,adolescent | youth | teenager
晴,晴,qíng,B1,Vs-pred,clear | fine (weather)
情,情,qíng,B1,N,(bound form) feelings |  emotion |  sentiment |  passion | (bound form) situation |  condition
情況,情况,qĭngjià,B1,N,circumstances |  state of affairs |  situation
情人,情人,qíngrén,B1,N,lover | sweetheart
請假,请假,qĭngjià,B1,V,to request leave of absence
請教,请教,qĭngjiào,B1,V,to ask for guidance | to consult
請求,请求,qĭngqiú,B1,V,to request |  to ask | request (CL:個|个)
慶祝,庆祝,qìngzhù,B1,V,to celebrate
窮,穷,qióng,B1,Vs,poor | destitute | to use up | to exhaust | thoroughly | extremely | (coll.) persistently and pointlessly
求,求,qiú,B1,V,to seek | to look for | to request | to demand | to beseech
球場,球场,qiúchăng,B1,N,stadium | sports ground | court | pitch | field | golf course
球賽,球赛,qiúsài,B1,N,(ball sports) game |  match
球員,球员,qiúyuán,B1,N,(ball sports) player |  team member
氣溫,气温,qìwēn,B1,N,air temperature
企業,企业,qìyè,B1,N,company |  firm |  enterprise |  corporation
去,去,qù,B1,Adv / Ptc,to go | to go to (a place) | (of a time etc) last | just passed | to send | to remove | to get rid of | to reduce | to be apart from in space or time | to die (euphemism) | to play (a part) | (when used either before or after a verb) to go in order to do sth | (after a verb of motion indicates movement away from the speaker) | (used after certain verbs to indicate detachment or separation)
去世,去世,qùshì,B1,Vp,to pass away | to die
全,全,quán,B1,Det,all | whole | entire | every | complete
全球,全球,quánqiú,B1,N,entire | total | global | the (whole) world | worldwide
全身,全身,quánshēn,B1,N,the whole body | (typography) em
取代,取代,qŭdài,B1,V,to replace | to supersede | to supplant | (chemistry) substitution
缺點,缺点,quēdiăn,B1,N,weak point | fault | shortcoming | disadvantage
卻,却,què,B1,Adv,but | yet | however | while | to go back | to decline | to retreat | nevertheless | even though
確定,确定,quèdìng,B1,Vs,definite | certain | fixed | to fix (on sth) | to determine | to be sure | to ensure | to make certain | to ascertain | to clinch | to recognize | to confirm | OK (on computer dialog box)
確認,确认,quèrèn,B1,V,to confirm | to verify | confirmation
讓,让,ràng,B1,V,"to yield | to permit | to let sb do sth | to have sb do sth | to make sb (feel sad etc) | by (indicates the agent in a passive clause, like 被)"
忍,忍,rěn,B1,Vs,to bear | to endure | to tolerate | to restrain oneself
認,认,rèn,B1,V,to recognize | to know | to admit
認得,认得,rènde,B1,Vst,to recognize | to remember sth (or sb) on seeing it | to know
扔,扔,rēng,B1,Vpt,to throw | to throw away
仍,仍,réng,B1,Adv,still |  yet | to remain | (literary) frequently |  often
仍然,仍然,réngrán,B1,Adv,still |  as before |  yet
人家,人家,rénjiā,B1,N,"other people | sb else | he, she or they | I, me (referring to oneself as ""one"" or ""people"")"
人間,人间,rénjiān,B1,N,the human world | the earth
人口,人口,rénkŏu,B1,N,population | people
人類,人类,rénlèi,B1,N,humanity | human race | mankind
人們,人们,rénmen,B1,N,people
人民,人民,rénmín,B1,N,the people
人人,人人,rénrén,B1,N,everyone | every person
人數,人数,rénshù,B1,N,number of people
人物,人物,rénwù,B1,N,"person |  personage |  figure (esp. sb of importance) | character (in a play, novel etc) | figure painting (as a genre of traditional Chinese painting)"
忍耐,忍耐,rěnnài,B1,Vst,to endure | to bear with | to exercise patience | to restrain oneself | patience | endurance
任務,任务,rènwù,B1,N,mission |  assignment |  task |  duty |  role
熱水,热水,rèshuĭ,B1,N,hot water
日出,日出,rìchū,B1,Vi,sunrise
日期,日期,rìqí,B1,N,date
如,如,rú,B1,Conj / Prep,as | as if | such as
如此,如此,rúcĭ,B1,Vs,like this |  so |  such
如下,如下,rúxià,B1,Vs,as follows
如意,如意,rúyì,B1,Vs,"as one wants |  according to one's wishes | ruyi scepter, a symbol of power and good fortune"
弱,弱,ruò,B1,Vs,weak |  feeble | young | inferior |  not as good as | (following a decimal or fraction) slightly less than
森林,森林,sēnlín,B1,N,forest
失戀,失恋,shīliàn,B1,Vp,to lose one's love | to break up (in a romantic relationship) | to feel jilted
失去,失去,shīqù,B1,Vpt,to lose
獅,狮,shī,B1,N,lion
時代,时代,shídài,B1,N,age | era | epoch | period (in one's life)
十分,十分,shífēn,B1,Adv,very | completely | utterly | extremely | absolutely | hundred percent | to divide into ten equal parts
實話,实话,shíhuà,B1,N,truth
實際,实际,shíjì,B1,Vs,reality | practice | practical | realistic | real | actual
時刻,时刻,shíkè,B1,N,time | juncture | moment | period of time | constantly | always
實力,实力,shílì,B1,N,strength
石頭,石头,shítou/shí,B1,N,stone
石,石,shítou/shí,B1,N,rock | stone | stone inscription | one of the eight categories of ancient musical instruments 八音
實行,实行,shíxíng,B1,V,to implement | to carry out | to put into practice
石油,石油,shíyóu,B1,N,oil | petroleum
實在,实在,shízài,B1,Vs,really | actually | indeed | true | real | honest | dependable | (philosophy) reality
使得,使得,shĭde,B1,Vst,usable | workable | feasible | doable | to make | to cause
使用,使用,shĭyòng,B1,V,to use | to employ | to apply | to make use of
事業,事业,shìyè,B1,N,"undertaking | project | activity | (charitable, political or revolutionary) cause | publicly funded institution, enterprise or foundation | career | occupation"
事實,事实,shìshí,B1,N,fact
適應,适应,shìyìng,B1,Vst,to adapt | to fit | to suit
市長,市长,shìzhăng,B1,N,mayor
殺,杀,shā,B1,V,to kill | to murder | to attack | to weaken or reduce | to smart (dialect) | (used after a verb) extremely
晒,晒,shài,B1,V,"(of the sun) to shine on | to bask in (the sunshine) | to dry (clothes, grain etc) in the sun | (fig.) to expose and share (one's experiences and thoughts) on the Web (loanword from ""share"") | (coll.) to give the cold shoulder to"
傷害,伤害,shānghài,B1,V,to injure |  to harm
商品,商品,shāngpĭn,B1,N,commodity | goods | merchandise
商業,商业,shāngyè,B1,N,business | trade | commerce
上,上,shàng,B1,Det,(bound form) up |  upper |  above |  previous | first (of multiple parts) | to climb |  to get onto |  to go up | to attend (class or university) | (directional complement) up | (noun suffix) on |  above
上當,上当,shàngdàng,B1,Vp,taken in (by sb's deceit) | to be fooled | to be duped
上帝,上帝,shàngdì,B1,N,God
上街,上街,shàngjiē,B1,Vi,to go onto the streets | to go shopping
山區,山区,shānqū,B1,N,mountain area
燒,烧,shāo,B1,V,"to burn | to cook | to stew | to bake | to roast | to heat | to boil (tea, water etc) | fever | to run a temperature | (coll.) to let things go to one's head"
少,少,shăo,B1,Adv,young
蛇,蛇,shé,B1,N,snake | serpent
設備,设备,shèbèi,B1,N,equipment |  facilities |  installations
設計,设计,shèjì,B1,N / V,to design |  to plan | design |  plan
升,升,shēng,B1,V,variant of 升
聲,声,shēng,B1,M,sound | voice | tone | noise | reputation | classifier for sounds
生,生,shēng,B1,V,to be born | to give birth | life | to grow | raw | uncooked | student
生產,生产,shēngchăn,B1,V,to produce |  to manufacture | to give birth to a child
聲調,声调,shēngdiào,B1,N,tone | note | a tone (on a Chinese syllable)
生動,生动,shēngdòng,B1,Vs,vivid | lively
生活,生活,shēnghuó,B1,Vi,to live | life | livelihood
生命,生命,shēngmìng,B1,N,life (as the characteristic of living beings) | living being |  creature
生字,生字,shēngzì,B1,N,new character (in textbook) | character that is unfamiliar or not yet studied
深入,深入,shēnrù,B1,Vs,to penetrate deeply | thorough
身上,身上,shēnshàng,B1,N,on the body | at hand | among
省,省,shěng,B1,Vst,(bound form) to scrutinize | (bound form) to reflect (on one's conduct) | (bound form) to come to realize | (bound form) to pay a visit (to one's parents or elders)
省錢,省钱,shěngqián,B1,Vs-sep,to save money
剩,剩,shèng,B1,Vst,to remain | to be left | to have as remainder
剩下,剩下,shèngxià,B1,Vpt,to remain |  to be left over
甚至,甚至,shènzhì,B1,Adv,even |  so much so that
收穫,收获,shōuhuò,B1,N,to harvest | to reap | to gain | crop | harvest | profit | gain | bonus | reward
收音機,收音机,shōuyīnjī,B1,N,radio
熟悉,熟悉,shoúxī,B1,Vst,to be familiar with |  to know well
手續,手续,shŏuxù,B1,N,procedure | formalities
首,首,shŏu,B1,M,"head | chief | first (occasion, thing etc) | classifier for poems, songs etc"
受得了,受得了,shòudeliao,B1,Vst,to put up with |  to endure
受傷,受伤,shòushāng,B1,Vp-sep,to sustain injuries | wounded (in an accident etc) | harmed
輸,输,shū,B1,Vp,to lose |  to be beaten | (bound form) to transport | (literary) to donate |  to contribute | (coll.) to enter (a password)
蔬菜,蔬菜,shūcài,B1,N,vegetables
舒適,舒适,shūshì,B1,Vs,cozy | snug
數,数,shŭ,B1,V,(literary) frequently |  repeatedly
數字,数字,shùzì,B1,N,numeral | digit | number | figure | amount | digital (electronics etc)
雙,双,shuāng,B1,Vs-attr,two | double | pair | both | even (number)
刷牙,刷牙,shuāyá,B1,V-sep,to brush one's teeth
水餃,水饺,shuĭjiăo,B1,N,"boiled dumpling (made by wrapping a pasta skin around a filling, like ravioli)"
水平,水平,shuĭpíng,B1,N,level (of achievement etc) | standard | horizontal
睡著,睡着,shuìzháo,B1,Vp,to fall asleep
水準,水准,shuĭzhŭn,B1,N,level (of achievement etc) | standard | level (surveying)
樹木,树木,shùmù,B1,N,tree
順便,顺便,shùnbiàn,B1,Adv,conveniently | in passing | without much extra effort
順利,顺利,shùnlì,B1,Vs,smoothly |  without a hitch
說法,说法,shuōfă,B1,N,way of speaking | wording | formulation | one's version (of events) | statement | theory | hypothesis | interpretation
說明,说明,shuōmíng,B1,N / V,to explain | to illustrate | to indicate | to show | to prove | explanation | directions | caption
說起來,说起来,shuōqĭlái,B1,Adv,No definition available
思考,思考,sīkăo,B1,V,to reflect on | to ponder over
思想,思想,sīxiăng,B1,N,thought | thinking | idea | ideology
似乎,似乎,sìhū/sì,B1,Adv,it seems |  seemingly |  as if
似,似,sìhū/sì,B1,Adv,old variant of 似
寺廟,寺庙,sìmiào,B1,N,temple | monastery | shrine
算了,算了,suànle,B1,Vs,let it be | let it pass | forget about it
隨便,随便,suíbiàn,B1,Vs,as one wishes | as one pleases | at random | negligent | casual | wanton
隨時,随时,suíshí,B1,Adv,at any time |  at all times | at the right time |  whenever necessary
所,所,suŏ,B1,M / Ptc,"actually | place | classifier for houses, small buildings, institutions etc | that which | particle introducing a relative clause or passive"
所謂,所谓,suŏwèi,B1,Vs-attr,so-called | what is called
抬,擡,tái,B1,V,variant of 抬
態度,态度,tàidù,B1,N,manner | bearing | attitude | approach
堂,堂,táng,B1,N / M,"(main) hall | large room for a specific purpose | relationship between cousins etc on the paternal side of a family | of the same clan | classifier for classes, lectures etc | classifier for sets of furniture"
躺,躺,tăng,B1,V,to recline | to lie down
談話,谈话,tánhuà,B1,V-sep,to talk (with sb) | to have a conversation | talk | conversation
討厭,讨厌,tăoyàn,B1,Vst,to dislike | to loathe | disagreeable | troublesome | annoying
特地,特地,tèdì,B1,Adv,specially | for a special purpose
特色,特色,tèsè,B1,N,characteristic | distinguishing feature or quality
特殊,特殊,tèshū,B1,Vs,special | particular | unusual | extraordinary
田,田,tián,B1,N,field | farm
填,填,tián,B1,V,to fill or stuff | (of a form etc) to fill in
天堂,天堂,tiāntáng,B1,N,paradise | heaven
天天,天天,tiāntiān,B1,Adv,every day
天下,天下,tiānxià,B1,N,land under heaven | the whole world | the whole of China | realm | rule
條件,条件,tiáojiàn,B1,N,condition |  circumstance |  term |  factor | requirement |  prerequisite |  qualification | situation |  state |  condition
挑戰,挑战,tiăozhàn,B1,V,to challenge | challenge
題材,题材,tícái,B1,N,subject matter
提到,提到,tídào,B1,Vpt,to mention | to raise (a subject) | to refer to
提高,提高,tígāo,B1,V,to raise | to increase | to improve
提供,提供,tígōng,B1,V,to offer | to supply | to provide | to furnish
體會,体会,tĭhuì,B1,Vst,to know from experience | to learn through experience | to realize | understanding | experience
體力,体力,tĭlì,B1,N,physical strength | physical power
體貼,体贴,tĭtiē,B1,Vst,considerate (of other people's needs)
體重,体重,tĭzhòng,B1,N,body weight
貼,贴,tiē,B1,V,to stick | to paste | to post (e.g. on a blog) | to keep close to | to fit snugly | to subsidize | allowance (e.g. money for food or housing) | sticker | classifier for sticking plaster: strip
鐵,铁,tiě,B1,N,iron (metal) | arms | weapons | hard | strong | violent | unshakeable | determined | close | tight (slang)
鐵路,铁路,tiělù,B1,N,railroad | railway
聽力,听力,tīnglì,B1,N,hearing | listening ability
聽起來,听起来,tīngqĭlái,B1,Adv,to sound like
聽眾,听众,tīngzhòng,B1,N,audience | listeners
挺,挺,tĭng,B1,Adv,straight | erect | to stick out (a part of the body) | to (physically) straighten up | to support | to withstand | outstanding | (coll.) quite | very | classifier for machine guns
通,通,tōng,B1,Vs-pred,"classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc)"
通過,通过,tōngguò,B1,Vpt,to pass through |  to get through | to adopt (a resolution) |  to pass (legislation) | to pass (a test) | by means of |  through |  via
通知,通知,tōngzhī,B1,V / N,to notify | to inform | notice | notification
同,同,tóng,B1,Det / Prep,see 衚衕|胡同
同情,同情,tóngqíng,B1,Vst,to sympathize with | sympathy
同事,同事,tóngshì,B1,N,colleague |  co-worker
痛苦,痛苦,tòngkŭ,B1,Vs,pain | suffering | painful
頭,头,tóu,B1,Det,suffix for nouns
投,投,tóu,B1,V,to cast | to send | to throw oneself (into the river etc) | to seek refuge | to place oneself into the hands of
投資,投资,tóuzī,B1,V,investment | to invest
土,土,tŭ,B1,N,earth | dust | clay | local | indigenous | crude opium | unsophisticated | one of the eight categories of ancient musical instruments 八音
團體,团体,tuántĭ,B1,N,group | organization | team
團圓,团圆,tuányuán,B1,Vs,to have a reunion
土地,土地,tŭdì,B1,N,local god | genius loci
推,推,tuī,B1,V,to push | to cut | to refuse | to reject | to decline | to shirk (responsibility) | to put off | to delay | to push forward | to nominate | to elect | massage
推薦,推荐,tuījiàn,B1,V,to recommend | recommendation
推銷,推销,tuīxiāo,B1,V,to market | to sell
退步,退步,tuìbù,B1,Vp,to do less well than before | to make a concession | setback | backward step | leeway | room to maneuver | fallback
退休,退休,tuìxiū,B1,Vp,to retire (from the workforce) |  to go into retirement
突然,突然,túrán,B1,Adv,sudden |  abrupt |  unexpected
兔,兔,tù,B1,N,rabbit
外邊,外边,wàibiān,B1,N,outside | outer surface | abroad | place other than one's home
外文,外文,wàiwén,B1,N,foreign language (written)
外語,外语,wàiyŭ,B1,N,foreign language
外祖父,外祖父,wàizŭfù,B1,N,maternal grandfather (i.e. mother's father)
外祖母,外祖母,wàizŭmŭ,B1,N,mother's mother | maternal grandmother
完成,完成,wánchéng,B1,Vpt,to complete |  to accomplish
玩具,玩具,wánjù,B1,N,plaything | toy
晚,晚,wăn,B1,Vs,evening | night | late
萬一,万一,wànyī,B1,Adv,just in case | if by any chance | contingency
網,网,wăng,B1,N,net | network
往往,往往,wăngwăng,B1,Adv,usually | in many cases | more often than not
娃娃,娃娃,wáwa,B1,N,baby | small child | doll
維持,维持,wéichí,B1,V,to keep |  to maintain |  to preserve
微笑,微笑,wéixiào,B1,Vi,smile | to smile
偉大,伟大,wěidà,B1,Vs,huge |  great |  grand |  worthy of the greatest admiration |  important (contribution etc)
為,为,wèi,B1,Prep,variant of 為|为
未來,未来,wèilái,B1,N,future | tomorrow | approaching | coming | pending
位置,位置,wèizhì,B1,N,position | place | seat
溫度,温度,wēndù,B1,N,temperature
溫暖,温暖,wēnnuăn,B1,Vs,warm
溫柔,温柔,wēnróu,B1,Vs,gentle and soft |  tender |  sweet (commonly used to describe a girl or woman)
文件,文件,wénjiàn,B1,N,document | file
文學,文学,wénxué,B1,N,literature
文章,文章,wénzhāng/wén,B1,N,article | essay | literary works | writings | hidden meaning
文,文,wénzhāng/wén,B1,N,language | culture | writing | formal | literary | gentle | (old) classifier for coins | Kangxi radical 67
文字,文字,wénzì,B1,N,character | script | writing | written language | writing style | phraseology
穩定,稳定,wěndìng,B1,Vs,steady | stable | stability | to stabilize | to pacify
問好,问好,wènhăo,B1,Vi,to say hello to | to send one's regards to
問候,问候,wènhòu,B1,V,to give one's respects | to send a greeting | (fig.) (coll.) to make offensive reference to (somebody dear to the person to whom one is speaking)
握手,握手,wòshŏu,B1,V-sep,to shake hands
無,无,wú,B1,Vs-attr,not to have | no | none | not | to lack | un- | -less
無法,无法,wúfă,B1,Adv,unable to |  incapable of
無論如何,无论如何,wúlùnrúhé,B1,Conj,whatever the case | in any event | no matter what | by all possible means
無窮,无穷,wúqióng,B1,Vs,endless | boundless | inexhaustible
無所謂,无所谓,wúsuŏwèi,B1,Vs,to be indifferent | not to matter | cannot be said to be
誤會,误会,wùhuì,B1,N,to misunderstand | to mistake | misunderstanding
物價,物价,wùjià,B1,N,(commodity) prices
西北,西北,xīběi,B1,N,northwest
西餐,西餐,xīcān,B1,N,Western-style food
西方,西方,xīfāng,B1,N,the West | the Occident | Western countries
西南,西南,xīnán,B1,N,southwest
吸毒,吸毒,xīdú,B1,V-sep,to take drugs
犧牲,牺牲,xīshēng,B1,Vpt,to sacrifice one's life | to sacrifice (sth valued) | beast slaughtered as a sacrifice
吸收,吸收,xīshōu,B1,V,to absorb | to assimilate | to ingest | to recruit
希望,希望,xīwàng,B1,N,to hope | a hope |  a wish (CL:個|个)
吸引,吸引,xīyĭn,B1,Vst,to attract |  to appeal to |  to fascinate
喜愛,喜爱,xĭài,B1,Vst,to like | to love | to be fond of | favorite
細,细,xì,B1,Vs,thin or slender | finely particulate | thin and soft | fine | delicate | trifling | (of a sound) quiet | frugal
細心,细心,xìxīn,B1,Vs,careful | attentive
戲,戏,xì,B1,N,trick | drama | play | show
戲劇,戏剧,xìjù,B1,N,a drama |  a play |  theater | script of a play
系統,系统,xìtŏng,B1,N,system
下,下,xià,B1,Det / M,"down | downwards | below | lower | later | next (week etc) | second (of two parts) | to decline | to go down | to arrive at (a decision, conclusion etc) | measure word to show the frequency of an action"
嚇,吓,xià,B1,Vs-pred,to frighten | to scare
下來,下来,xiàlái,B1,Ptc,"to come down | (completed action marker) | (after verb of motion, indicates motion down and towards us, also fig.) | (indicates continuation from the past towards us) | to be harvested (of crops) | to be over (of a period of time) | to go among the masses (said of leaders)"
線,线,xiàn,B1,N,thread | string | wire | line | (after a number) tier (unofficial ranking of a Chinese city)
相對,相对,xiāngduì,B1,Vs-attr,relatively | opposite | to resist | to oppose | relative | vis-a-vis | counterpart
相反,相反,xiāngfăn,B1,Vs,opposite | contrary
相關,相关,xiāngguān,B1,Vs,related | relevant | pertinent | to be interrelated | (statistics) correlation
香水,香水,xiāngshuĭ,B1,N,perfume | cologne
相同,相同,xiāngtóng,B1,Vs,identical | same
詳細,详细,xiángxì,B1,Vs,detailed | in detail | minute
響,响,xiăng,B1,Vp,echo | sound | noise | to make a sound | to sound | to ring | loud | classifier for noises
想到,想到,xiăngdào,B1,Vpt,to think of | to call to mind | to anticipate
想像,想像,xiăngxiàng,B1,N / Vst,to imagine |  to envision | imagination
項,项,xiàng,B1,M,"back of neck | item | thing | term (in a mathematical formula) | sum (of money) | classifier for principles, items, clauses, tasks, research projects etc"
相聲,相声,xiàngshēng,B1,N,comic dialogue | sketch | crosstalk
限,限,xiàn,B1,Vst,to limit | to restrict | (bound form) limit | bound
現實,现实,xiànshí,B1,N / Vs,reality | actuality | real | actual | realistic | pragmatic | materialistic | self-interested
現象,现象,xiànxiàng,B1,N,phenomenon | appearance
限制,限制,xiànzhì,B1,N,to restrict | to limit | to confine | restriction | limit
小說,小说,xiăoshuō,B1,N,novel | fiction
小偷,小偷,xiăotōu,B1,N,thief
小組,小组,xiăozŭ,B1,N,group
效果,效果,xiàoguŏ,B1,N,result | effect | efficacy | (theater) sound or visual effects
笑話,笑话,xiàohuà,B1,N,joke |  jest (CL:個|个) | to laugh at |  to mock | ridiculous |  absurd
孝順,孝顺,xiàoshùn,B1,Vs / Vst,filial | dutiful | devoted to one's parents (and grandparents etc) | to show filial piety towards (an older family member) | filial piety
校長,校长,xiàozhăng,B1,N,"(college, university) president | headmaster"
嚇一跳,吓一跳,xiàyītiào,B1,Vp,startled | to frighten | scared out of one's skin
協助,协助,xiézhù,B1,V,to provide assistance | to aid
血,血,xiě,B1,N,blood | colloquial pr. 
謝,谢,xiè,B1,V,"to thank | to apologize | (of flowers, leaves etc) to wither | to decline"
心得,心得,xīndé,B1,N,"what one has learned (through experience, reading etc) | knowledge | insight | understanding | tips"
心理,心理,xīnlĭ,B1,N,psychology | mentality
心意,心意,xīnyì,B1,N,intention | regard |  kindly feelings
欣賞,欣赏,xīnshăng,B1,Vst,to appreciate |  to enjoy |  to admire
新生,新生,xīnshēng,B1,N,new | newborn | emerging | nascent | rebirth | regeneration | new life | new student
信,信,xìn,B1,Vst,letter | mail | to trust | to believe | to profess faith in | truthful | confidence | trust | at will | at random
信心,信心,xìnxīn,B1,N,confidence | faith (in sb or sth)
興奮,兴奋,xīngfèn,B1,Vs,excited | excitement | (physiology) excitation
行動,行动,xíngdòng,B1,N,operation | action | to move about | mobile
形容,形容,xíngróng,B1,V,to describe | (literary) countenance |  appearance
行為,行为,xíngwéi,B1,N,action | conduct | behavior | activity
醒,醒,xĭng,B1,Vp,to wake up | to be awake | to become aware | to sober up | to come to
醒來,醒来,xĭnglái,B1,Vp,to waken
姓,姓,xìng,B1,N,family name | surname | to be surnamed
性別,性别,xìngbié,B1,N,gender | sex
性格,性格,xìnggé,B1,N,nature | disposition | temperament | character
幸好,幸好,xìnghăo,B1,Adv,fortunately
幸虧,幸亏,xìngkuī,B1,Adv,fortunately | luckily
幸運,幸运,xìngyùn,B1,Vs,fortunate | lucky | fortune | luck
兇,凶,xiōng,B1,Vs,vicious | fierce | ominous | inauspicious | famine | variant of 兇|凶
凶,凶,xiōng,B1,Vs,vicious | fierce | ominous | inauspicious | famine | variant of 兇|凶
熊貓,熊猫,xióngmāo,B1,N,panda
修,修,xiū,B1,V,variant of 修
修改,修改,xiūgăi,B1,V,to amend | to alter | to modify
修理,修理,xiūlĭ,B1,V,to repair | to fix | to prune | to trim | (coll.) to sort sb out | to fix sb
需求,需求,xūqiú,B1,N,requirement | to require | (economics) demand
需要,需要,xūyào,B1,N,to need |  to want |  to demand |  to require | needs
選舉,选举,xuănjŭ,B1,N,to elect | election
學費,学费,xuéfèi,B1,N,tuition fee | tuition
學會,学会,xuéhuì,B1,Vpt,to learn | to master | institute | learned society | (scholarly) association
學問,学问,xuéwèn,B1,N,learning | knowledge
尋找,寻找,xúnzhăo,B1,V,to seek |  to look for
訓練,训练,xùnliàn,B1,V,to train | to drill | training
押金,押金,yājīn,B1,N,deposit | down payment
鴨,鸭,yā,B1,N,duck (CL:隻|只) | (slang) male prostitute
牙,牙,yá,B1,N,tooth | ivory
牙齒,牙齿,yáchĭ,B1,N,tooth | dental
演,演,yăn,B1,V,to perform (a play etc) |  to stage (a show) | (bound form) to develop |  to play out |  to carry out (a task)
演出,演出,yănchū,B1,V,to act (in a play) | to perform | to put on (a performance) | performance | concert | show
羊,羊,yáng,B1,N,sheep |  goat
陽光,阳光,yángguāng,B1,N,sunshine | (of personality) upbeat |  energetic | transparent (open to public scrutiny)
養,养,yăng,B1,V,to raise (animals) | to bring up (children) | to keep (pets) | to support | to give birth
樣樣,样样,yàngyàng,B1,Det,all kinds
煙火,烟火,yānhuŏ,B1,N,smoke and fire | fireworks
眼光,眼光,yănguāng,B1,N,gaze | insight | foresight | vision | way of looking at things
演講,演讲,yănjiăng,B1,Vi,lecture | to make a speech
眼淚,眼泪,yănlèi,B1,N,tears | crying
演員,演员,yănyuán,B1,N,actor or actress | performer
邀請,邀请,yāoqĭng,B1,V,to invite | invitation
咬,咬,yăo,B1,V,variant of 咬
要,要,yào,B1,Vst,to want |  to need |  to ask for | will |  shall |  about to | need to |  should | if (same as 要是) | (bound form) important
要不然,要不然,yàobùrán,B1,Conj,otherwise | or else | or
要不是,要不是,yàobúshì,B1,Conj,if it were not for | but for
要緊,要紧,yàojĭn,B1,Vs,important | urgent
也好,也好,yěhăo,B1,,that's fine | may as well | (reduplicated) regardless of whether ... or ...
頁,页,yè,B1,M,page | leaf
夜裡,夜里,yèlĭ/lĭ,B1,N,during the night | at night | nighttime
裏,里,yèlĭ/lĭ,B1,N,"li, ancient measure of length, approx. 500 m | neighborhood | ancient administrative unit of 25 families | (Tw) borough, administrative unit between the township 鎮|镇 and neighborhood 鄰|邻 levels"
一般來說,一般来说,yībānláishuō,B1,,generally speaking
一點,一点,yīdiăn/yīdiănr,B1,Adv,a bit | a little | one dot | one point
一點兒,一点儿,yīdiăn/yīdiănr,B1,Adv,erhua variant of 一點|一点
一方面,一方面,yīfāngmiàn,B1,Conj,on the one hand
衣櫃,衣柜,yīguì,B1,N,wardrobe | armoire
依靠,依靠,yīkào,B1,V,to rely on sth (for support etc) | to depend on
一連,一连,yīlián,B1,Adv,in a row | in succession | running
一生,一生,yīshēng,B1,N,all one's life |  throughout one's life
一時,一时,yīshí,B1,N,a period of time | a while | for a short while | temporary | momentary | at the same time
一同,一同,yītóng,B1,Adv,together
一向,一向,yīxiàng,B1,Adv,always (previously) | a period of time in the recent past
一樣,一样,yīyàng,B1,N,same | like | equal to | the same as | just like
以,以,yĭ,B1,Prep,to use | by means of | according to | in order to | because of | at (a certain date or place)
以及,以及,yĭjí,B1,Conj,as well as | too | and
以來,以来,yĭlái,B1,N,since (a previous event)
以免,以免,yĭmiăn,B1,Conj,in order to avoid | so as not to
藝術,艺术,yìshù,B1,N,art
意外,意外,yìwài,B1,N,unexpected | accident | mishap
